경찰서,관서명,연번,주소,지방청,지역파출소,치안센터명
"서울중부","약수","1","서울 중구 동호로 14길 18","서울청","지구대","다산치안센터"
"서울중부","을지","2","서울 중구 을지로 281","서울청","지구대","DDP치안센터"
"서울중부","을지로3","3","서울 중구 충무로2길 39","서울청","파출소","충4치안센터"
"서울종로","평창","4","서울 종로구 비봉길 13","서울청","파출소","구기치안센터"
"서울서대문","충정로","5","서울 서대문구 북아현로 59-1번지","서울청","지구대","북아현치안센터"
"서울서대문","신촌","6","서울 서대문구 신촌로 105번지","서울청","지구대","신촌치안센터"
"서울혜화","종로5가","7","서울 종로구 돈화문로 28","서울청","파출소","종로3가치안센터"
"서울용산","원효","8","서울 용산구 청파로 274-2","서울청","지구대","청파치안센터"
"서울용산","용중","9","서울 용산구 한강대로 102길11-5","서울청","지구대","남영치안센터"
"서울용산","용중","10","서울 용산구 신흥로 90","서울청","지구대","용산치안센터"
"서울용산","한남","11","서울 용산구 이태원로 281","서울청","파출소","한남2치안센터"
"서울용산","한강로","12","서울 용산구 이촌로71길 24","서울청","지구대","이촌치안센터"
"서울성북","돈암","13","서울 성북구 성북로 4길 52","서울청","지구대","돈암치안센터"
"서울성북","안암","14","서울 성북구 보문로 13길 27","서울청","지구대","보문치안센터"
"서울성북","안암","15","서울 성북구 보문로29길 92","서울청","지구대","삼선치안센터"
"서울성북","길음","16","서울 성북구 정릉로 31길 30 ","서울청","지구대","길음1치안센터"
"서울성북","길음","17","서울 성북구 동소문로 258","서울청","지구대","정릉1치안센터"
"서울성북","정릉","18","서울 성북구 정릉로 10길 44","서울청","파출소","정릉3치안센터"
"서울성북","정릉","19","서울 성북구 보국문로 87","서울청","파출소","정릉4치안센터"
"서울성북","성북","20","서울 성북로 25","서울청","파출소","성북1치안센터"
"서울동대문","답십리","21","서울 동대문 고미술로 93","서울청","지구대","답십리1치안센터"
"서울동대문","답십리","22","서울 동대문 한천로11길 30","서울청","지구대","답십리2치안센터"
"서울동대문","용신","23","서울 동대문구 왕산로 5","서울청","지구대","신설치안센터"
"서울동대문","용신","24","서울 동대문구 왕산로 95","서울청","지구대","용두치안센터"
"서울동대문","전농2","25","서울 동대문구 시립대로 14길 31","서울청","파출소","전농4치안센터"
"서울동대문","장안1","26","서울 동대문구 한천로 10길 4","서울청","파출소","남장안치안센터"
"서울동대문","장안1","27","서울 동대문구 장안로18길 78","서울청","파출소","장안3치안센터"
"서울동대문","이문","28","서울 동대문구 이문로 196","서울청","지구대","이문2치안센터"
"서울동대문","휘경","29","서울 동대문구 망우로 20길 4","서울청","파출소","휘경2치안센터"
"서울마포","공덕","30","서울 마포구 환일길 3","서울청","지구대","아현치안센터"
"서울마포","용강","31","서울 마포구 도화길 40","서울청","지구대","도화치안센터"
"서울마포","용강","32","서울 마포구 대흥로 85","서울청","지구대","대흥치안센터"
"서울마포","서강","33","서울 마포구 신촌로18길 26","서울청","지구대","노고산치안센터"
"서울마포","홍익","34","서울 마포구 잔다리로 6길 29","서울청","지구대","서교치안센터"
"서울마포","홍익","35","서울 마포구 양화로 178-17","서울청","지구대","동교치안센터"
"서울마포","망원","36","서울 마포구 월드컵로 31길 18","서울청","파출소","망원2치안센터"
"서울영등포","중앙","37","서울 영등포구 버드나루로 1-1","서울청","지구대","영2치안센터"
"서울영등포","문래","38","서울 영등포구 도신로 29길 13","서울청","지구대","도림치안센터"
"서울영등포","신풍","39","서울 영등포구 신길로 179-2","서울청","지구대","신길3치안센터"
"서울영등포","신풍","40","서울 영등포구 신길로 23길 12","서울청","지구대","신길5치안센터"
"서울영등포","당산","41","서울 영등포구 선유로 53길 23","서울청","지구대","양평2치안센터"
"서울성동","한양","42","서울 성동구 마장로42길 11","서울청","지구대","동마치안센터"
"서울성동","한양","43","서울 성동구 고산자로 332","서울청","지구대","마장치안센터"
"서울성동","성수","44","서울 성동구 왕십리로5길 3","서울청","지구대","뚝섬치안센터"
"서울성동","서울숲","45","서울 성동구 뚝섬로 364-1","서울청","지구대","성수1치안센터"
"서울성동","행당","46","서울 성동구 왕십리로 341","서울청","파출소","하왕치안센터"
"서울성동","옥수","47","서울 성동구 독서당로 286-1","서울청","파출소","금남치안센터"
"서울동작","흑석","48","서울 동작구 현충로56","서울청","지구대","노들치안센터"
